name,price,description
Hydrating Nykaa Sunscreen SPF 50 120ml,1390.34,Achieve a flawless look with our premium hydrating nykaa sunscreen spf 50 120ml. Dermatologically tested and safe for all skin types. (Batch ID: #1)
Long-Lasting Maybelline Eyeliner Pack of 2,1395.26,Achieve a flawless look with our premium long-lasting maybelline eyeliner pack of 2. Dermatologically tested and safe for all skin types. (Batch ID: #2)
Hydrating Biotique Vitamin C Serum 30ml,451.94,Achieve a flawless look with our premium hydrating biotique vitamin c serum 30ml. Dermatologically tested and safe for all skin types. (Batch ID: #3)
HD Maybelline Mascara 10ml,435.16,Achieve a flawless look with our premium hd maybelline mascara 10ml. Dermatologically tested and safe for all skin types. (Batch ID: #4)
Hydrating Minimalist Face Primer 30ml,2202.62,Achieve a flawless look with our premium hydrating minimalist face primer 30ml. Dermatologically tested and safe for all skin types. (Batch ID: #5)
Brightening Maybelline Mascara 15ml,404.42,Achieve a flawless look with our premium brightening maybelline mascara 15ml. Dermatologically tested and safe for all skin types. (Batch ID: #6)
Glowing Colorbar Highlighter 120ml,1102.61,Achieve a flawless look with our premium glowing colorbar highlighter 120ml. Dermatologically tested and safe for all skin types. (Batch ID: #7)
Anti-Aging Nykaa Makeup Fixer Pack of 2,513.09,Achieve a flawless look with our premium anti-aging nykaa makeup fixer pack of 2. Dermatologically tested and safe for all skin types. (Batch ID: #8)
Waterproof Minimalist Foundation 120ml,2854.6,Achieve a flawless look with our premium waterproof minimalist foundation 120ml. Dermatologically tested and safe for all skin types. (Batch ID: #9)
Waterproof Mamaearth Lip Balm 30ml,1967.28,Achieve a flawless look with our premium waterproof mamaearth lip balm 30ml. Dermatologically tested and safe for all skin types. (Batch ID: #10)
Matte Lotus Herbals Face Wash Pack of 2,324.08,Achieve a flawless look with our premium matte lotus herbals face wash pack of 2. Dermatologically tested and safe for all skin types. (Batch ID: #11)
Anti-Aging Lakmé Mascara 50g,2950.31,Achieve a flawless look with our premium anti-aging lakmé mascara 50g. Dermatologically tested and safe for all skin types. (Batch ID: #12)
Long-Lasting Lakmé Highlighter 120ml,1681.81,Achieve a flawless look with our premium long-lasting lakmé highlighter 120ml. Dermatologically tested and safe for all skin types. (Batch ID: #13)
Dewy L'Oréal Highlighter 8g,253.34,Achieve a flawless look with our premium dewy l'oréal highlighter 8g. Dermatologically tested and safe for all skin types. (Batch ID: #14)
Brightening Minimalist Face Primer 30ml,1282.39,Achieve a flawless look with our premium brightening minimalist face primer 30ml. Dermatologically tested and safe for all skin types. (Batch ID: #15)
Brightening Revlon Makeup Fixer 10ml,643.38,Achieve a flawless look with our premium brightening revlon makeup fixer 10ml. Dermatologically tested and safe for all skin types. (Batch ID: #16)
HD Lotus Herbals Moisturizer 8g,2522.01,Achieve a flawless look with our premium hd lotus herbals moisturizer 8g. Dermatologically tested and safe for all skin types. (Batch ID: #17)
Long-Lasting Lakmé Liquid Concealer 8g,1860.52,Achieve a flawless look with our premium long-lasting lakmé liquid concealer 8g. Dermatologically tested and safe for all skin types. (Batch ID: #18)
